Wavelength (nm),Real n ,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
380.3,6.452,0.945,26295.03024,6.3889,0.977991321,-1.821,292.6984127
382.7,6.316,0.815,26130.12804,6.1886,2.01709943,-1.5893,295.006135
385,6.185,0.714,25974.02597,6.1451,0.645109135,-2.2709,418.0532213
387.5,6.062,0.63,25806.45161,5.9477,1.885516331,-1.8197,388.8412698
389.9,5.948,0.561,25647.60195,5.8852,1.055817081,-2.243,499.8217469
392.4,5.842,0.505,25484.1998,5.7506,1.564532694,-2.1368,523.1287129
394.9,5.744,0.456,25322.86655,5.6684,1.316155989,-2.2012,582.7192982
397.4,5.654,0.416,25163.56316,5.5761,1.377785638,-2.426,683.1730769
400,5.57,0.387,25000,5.4832,1.558348294,-2.1723,661.3178295
402.5,5.493,0.355,24844.7205,5.432,1.110504278,-2.6991,860.3098592
405.2,5.42,0.329,24679.17078,5.3353,1.562730627,-2.3004,799.2097264
407.8,5.349,0.313,24521.82442,5.2785,1.318003365,-2.6575,949.0415335
410.5,5.284,0.291,24360.53593,5.2293,1.035200606,-2.6645,1015.635739
413.3,5.222,0.269,24195.49964,5.147,1.436231329,-2.5553,1049.925651
416.1,5.164,0.255,24032.68445,5.0966,1.305189775,-2.5596,1103.764706
418.9,5.109,0.244,23872.04583,5.0363,1.422979057,-2.6109,1170.040984
421.7,5.058,0.228,23713.54043,5.0083,0.982601819,-2.7845,1321.27193
424.6,5.009,0.211,23551.57796,4.9416,1.34557796,-2.7122,1385.402844
427.5,4.961,0.203,23391.81287,4.9072,1.084458778,-2.8594,1508.571429
430.5,4.916,0.194,23228.80372,4.8506,1.330349878,-2.7758,1530.824742
433.5,4.872,0.185,23068.05075,4.8183,1.102216749,-2.8991,1667.081081
436.6,4.831,0.185,22904.26019,4.7689,1.285448147,-2.8153,1621.783784
439.7,4.791,0.17,22742.77917,4.7464,0.930912127,-2.8342,1767.176471
442.8,4.753,0.163,22583.55917,4.7045,1.020408163,-2.9928,1936.07362
446,4.718,0.149,22421.52466,4.6755,0.900805426,-2.9111,2053.758389
449.2,4.682,0.149,22261.79875,4.6331,1.044425459,-3.0653,2157.248322
452.5,4.648,0.133,22099.44751,4.6129,0.755163511,-2.9759,2337.518797
455.8,4.615,0.131,21939.44713,4.5607,1.17659805,-3.1252,2485.648855
459.2,4.583,0.13,21777.00348,4.544,0.85097098,-3.0378,2436.769231
462.6,4.553,0.131,21616.94769,4.5006,1.150889523,-3.1845,2530.916031
466.1,4.522,0.134,21454.62347,4.4982,0.526315789,-3.1064,2418.208955
469.6,4.495,0.12,21294.71891,4.4638,0.694104561,-3.2505,2808.75
473.2,4.466,0.12,21132.71344,4.4612,0.107478728,-3.2483,2806.916667
476.9,4.442,0.09,20968.75655,4.4224,0.441242683,-3.1992,3654.666667
480.6,4.416,0.094,20807.32418,4.395,0.475543478,-3.2143,3519.468085
484.3,4.391,0.083,20648.35846,4.3714,0.44636757,-3.3618,4150.361446
488.1,4.367,0.079,20487.605,4.3461,0.478589421,-3.3822,4381.265823
492,4.343,0.077,20325.20325,4.3166,0.607874741,-3.3594,4462.857143
495.9,4.32,0.073,20165.35592,4.2993,0.479166667,-3.4521,4828.90411
499.9,4.298,0.073,20004.0008,4.2734,0.572359237,-3.5053,4901.780822
504,4.277,0.066,19841.26984,4.2553,0.507364975,-3.4458,5320.909091
508.1,4.255,0.072,19681.16512,4.2311,0.561692127,-3.5783,5069.861111
512.3,4.235,0.06,19519.81261,4.2252,0.231404959,-3.5934,6089
516.6,4.215,0.06,19357.33643,4.1902,0.588374852,-3.5895,6082.5
520.9,4.196,0.056,19197.54271,4.1871,0.212106768,-3.7301,6760.892857
525.4,4.177,0.053,19033.11762,4.157,0.478812545,-3.6579,7001.698113
529.9,4.159,0.043,18871.48519,4.1493,0.233229142,-3.6698,8634.418605
534.4,4.14,0.045,18712.57485,4.113,0.652173913,-3.8761,8713.555556
539.1,4.123,0.048,18549.43424,4.1116,0.276497696,-3.7652,7944.166667
543.8,4.106,0.044,18389.11364,4.0841,0.533365806,-3.9104,8987.272727
548.6,4.089,0.044,18228.21728,4.0853,0.090486672,-3.9235,9017.045455
553.5,4.073,0.032,18066.84734,4.0554,0.432113921,-4.0103,12632.1875
558.5,4.057,0.038,17905.10295,4.0464,0.261276806,-4.0166,10670
563.6,4.042,0.032,17743.0802,4.0246,0.43047996,-4.0599,12787.1875
568.7,4.026,0.034,17583.96343,4.017,0.223546945,-4.1845,12407.35294
574,4.012,0.03,17421.60279,3.9976,0.35892323,-4.2332,14210.66667
579.4,3.997,0.027,17259.23369,3.9869,0.252689517,-4.1926,15628.14815
584.8,3.983,0.03,17099.8632,3.965,0.451920663,-4.4146,14815.33333
590.4,3.969,0.03,16937.66938,3.963,0.15117158,-4.3734,14678
596.1,3.956,0.027,16775.70877,3.9429,0.331142568,-4.5008,16769.62963
601.9,3.943,0.025,16614.05549,3.9379,0.12934314,-4.5055,18122
607.8,3.931,0.025,16452.78052,3.9167,0.363775121,-4.66,18740
613.8,3.918,0.024,16291.95178,3.9151,0.074017356,-4.676,19583.33333
619.9,3.906,0.022,16131.63413,3.8947,0.289298515,-4.8985,22365.90909
626.2,3.893,0.022,15969.33887,3.8926,0.010274852,-4.8628,22203.63636
632.6,3.882,0.019,15807.77743,3.8737,0.213807316,-5.0695,26781.57895
639.1,3.87,0.018,15647.0036,3.8703,0.007751938,-5.1184,28535.55556
645.8,3.858,0.017,15484.67018,3.8513,0.173665111,-5.3324,31467.05882
652.6,3.847,0.016,15323.3221,3.8491,0.054587991,-5.3411,33481.875
659.5,3.837,0.015,15163.00227,3.8306,0.166796977,-5.7156,38204
666.6,3.826,0.015,15001.50015,3.8288,0.073183481,-5.6929,38052.66667
673.8,3.815,0.014,14841.19917,3.8122,0.073394495,-6.2022,44401.42857
681.2,3.805,0.013,14679.97651,3.8104,0.141918528,-6.2104,47872.30769
688.8,3.796,0.013,14518.00232,3.7939,0.055321391,-6.9682,53701.53846
696.5,3.787,0.013,14357.50179,3.7939,0.182202271,-7.038,54238.46154
704.5,3.778,0.012,14194.46416,3.7833,0.140285866,-9.3838,78298.33333
