Wavelength (um),Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
0.521,521,2.9814,0.3146,19193.85797,4.7772,60.23344737,2.7054,759.9491418
0.522,522,2.9781,0.3088,19157.08812,4.7765,60.38749538,2.6717,765.1878238
0.523,523,2.9748,0.3031,19120.45889,4.7702,60.35363722,2.6183,763.8403167
0.524,524,2.9714,0.2976,19083.96947,4.7688,60.49000471,2.585,768.6155914
0.525,525,2.9679,0.2921,19047.61905,4.762,60.45014994,2.5315,766.655255
0.526,526,2.9643,0.2868,19011.40684,4.7596,60.56404547,2.4992,771.4086471
0.527,527,2.9608,0.2816,18975.33207,4.7517,60.48703053,2.4463,768.7144886
0.528,528,2.9572,0.2767,18939.39394,4.7487,60.58095496,2.414,772.425009
0.529,529,2.9535,0.2718,18903.59168,4.7411,60.52480108,2.3611,768.6902134
0.53,530,2.9498,0.267,18867.92453,4.7377,60.61088887,2.3296,772.5093633
0.531,531,2.946,0.2623,18832.39171,4.7295,60.53971487,2.2769,768.051849
0.532,532,2.9423,0.2577,18796.99248,4.7254,60.60224994,2.2464,771.7112922
0.533,533,2.9385,0.2533,18761.72608,4.7165,60.50706143,2.1932,765.8507698
0.534,534,2.9346,0.2489,18726.59176,4.7123,60.57725073,2.1633,769.1442346
0.535,535,2.9308,0.2447,18691.58879,4.7026,60.45448342,2.1109,762.6481406
0.536,536,2.927,0.2406,18656.71642,4.698,60.50563717,2.0813,765.045719
0.537,537,2.9231,0.2366,18621.97393,4.6883,60.38794431,2.0285,757.3541843
0.538,538,2.9192,0.2327,18587.36059,4.6833,60.43093998,1.9997,759.3467985
0.539,539,2.9153,0.2289,18552.8757,4.673,60.29225123,1.9473,750.7208388
0.54,540,2.9115,0.2253,18518.51852,4.6677,60.31942298,1.919,751.7532179
0.541,541,2.9076,0.2217,18484.28835,4.6578,60.19397441,1.866,741.6779432
0.542,542,2.9036,0.2182,18450.1845,4.6521,60.21834963,1.8382,742.4381302
0.543,543,2.8997,0.2148,18416.20626,4.6417,60.07518019,1.7862,731.5642458
0.544,544,2.8959,0.2115,18382.35294,4.6356,60.07458821,1.759,731.678487
0.545,545,2.892,0.2084,18348.62385,4.625,59.92392808,1.7062,718.7140115
0.546,546,2.8881,0.2053,18315.01832,4.6193,59.94252277,1.6796,718.1198246
0.547,547,2.8843,0.2023,18281.53565,4.6088,59.78920362,1.6272,704.3499753
0.548,548,2.8805,0.1993,18248.17518,4.6028,59.79170283,1.6006,703.1108881
0.549,549,2.8766,0.1965,18214.93625,4.5915,59.61551832,1.5479,687.735369
0.55,550,2.8728,0.1938,18181.81818,4.5856,59.62127541,1.5222,685.4489164
0.551,551,2.869,0.1911,18148.82033,4.5746,59.44928547,1.4695,668.9691261
0.552,552,2.8653,0.1886,18115.94203,4.5683,59.43531218,1.4441,665.6945917
0.553,553,2.8615,0.1861,18083.18264,4.558,59.28708719,1.3909,647.3938743
0.554,554,2.8578,0.1836,18050.54152,4.5516,59.26936805,1.3661,644.0631808
0.555,555,2.8541,0.1813,18018.01802,4.5407,59.09393504,1.3126,623.9933811
0.556,556,2.8504,0.179,17985.61151,4.5346,59.08644401,1.288,619.5530726
0.557,557,2.8467,0.1768,17953.32136,4.5238,58.91383005,1.2343,598.1334842
0.558,558,2.843,0.1746,17921.14695,4.5175,58.8990503,1.2102,593.1271478
0.559,559,2.8394,0.1726,17889.08766,4.5067,58.72015214,1.1566,570.1042874
0.56,560,2.8358,0.1705,17857.14286,4.5007,58.71006418,1.1327,564.340176
0.561,561,2.8322,0.1686,17825.31194,4.4896,58.51987854,1.0787,539.7983393
0.562,562,2.8287,0.1667,17793.59431,4.4837,58.50744158,1.0554,533.1133773
0.563,563,2.8252,0.1649,17761.98934,4.4728,58.31799519,1.0005,506.7313523
0.564,564,2.8216,0.1631,17730.49645,4.467,58.31443153,0.9774,499.2642551
0.565,565,2.8182,0.1614,17699.11504,4.456,58.11510893,0.9231,471.9330855
